generation,best_fitness,best_score,best_steps,average_fitness
445,69413,68,1413,32731.03
446,81605,80,1605,35057.15
447,63136,62,1136,34694.65
448,56862,56,862,32879.6
449,57039,56,1039,33689.93
450,61076,60,1076,35803.75
451,64114,63,1114,38593.45
452,79375,78,1375,36084.45
453,66177,65,1177,33270.85
454,67081,66,1081,35841.22
455,71363,70,1363,36954.88
456,78499,77,1499,39478.53
457,66154,65,1154,33984.72
458,64059,63,1059,35553.05
459,100913,99,1913,35477.5
460,70389,69,1389,35787.03
461,67196,66,1196,36830.78
462,62241,61,1241,35561.28
463,78555,77,1555,37047.32
464,67326,66,1326,34557.2
465,75525,74,1525,37174.25
466,60929,60,929,32751.45
467,64934,64,934,36102.88
468,63182,62,1182,36892.1
469,81710,80,1710,40080.3
470,81341,80,1341,37100.45
471,58993,58,993,33893.97
472,69517,68,1517,31456.05
473,64102,63,1102,32714.75
474,63995,63,995,33272.6
475,57028,56,1028,35369.12
476,55835,55,835,31040.1
477,60225,59,1225,31927.53
478,53956,53,956,33042.28
479,54870,54,870,30100.62
480,61130,60,1130,33810.88
481,49795,49,795,31429.1
482,73290,72,1290,32654.08
483,53816,53,816,30684.62
484,66212,65,1212,34492.05
485,60979,60,979,33910.8
486,57954,57,954,34869.53
487,57975,57,975,36627.43
488,63224,62,1224,33845.38
489,59213,58,1213,34705.5
490,56848,56,848,35300.03
491,68242,67,1242,33625.82
492,59807,59,807,33465.07
493,53945,53,945,33177.35
494,49710,49,710,30193.85
495,64027,63,1027,33258.0
496,60096,59,1096,30101.95
497,56956,56,956,32276.78
498,71373,70,1373,36047.75
499,57918,57,918,34187.18
500,64125,63,1125,36404.15
501,74356,73,1356,37756.3
502,51849,51,849,32689.78
503,59066,58,1066,34333.78
504,55869,55,869,35891.0
505,53844,53,844,32941.62
506,53784,53,784,34493.53
507,60938,60,938,35954.57
508,85650,84,1650,34968.05
509,93246,91,2246,34548.88
510,99578,97,2578,29307.12
511,102546,100,2546,43327.7
512,152831,148,4831,50433.03
513,187637,181,6637,68648.9
514,265581,252,13581,85825.93
515,316214,300,16214,104783.88
516,288897,274,14897,121997.62
517,254476,243,11476,135235.02
518,311887,294,17887,153628.25
519,310889,293,17889,166670.33
520,417206,385,32206,187656.0
521,424306,393,31306,198852.5
522,418740,389,29740,238270.48
523,423626,391,32626,269483.2
524,424717,393,31717,322964.1
525,425928,393,32928,314474.72
526,426093,393,33093,343799.5
527,423987,391,32987,335605.58
528,417791,387,30791,338205.25
529,425365,393,32365,324494.35
530,426157,393,33157,332114.47
531,426369,395,31369,346137.85
532,424388,391,33388,329557.25
533,426288,395,31288,339153.3
534,422822,391,31822,335561.92
535,429941,397,32941,328273.65
536,425354,393,32354,341414.0
537,419805,391,28805,340416.05
538,425452,391,34452,332210.92
539,425493,393,32493,336353.22
540,425623,395,30623,336446.4
541,426938,395,31938,323550.8
542,427768,395,32768,329393.42
543,425587,393,32587,337005.25
544,427650,395,32650,326592.75
545,422463,393,29463,342817.5
546,428776,395,33776,342800.0
547,423264,393,30264,337225.9
548,424800,393,31800,354862.9
549,420870,389,31870,328419.35
550,422182,391,31182,335667.9
551,426733,395,31733,342974.9
552,425104,396,29104,333131.83
553,430875,395,35875,354066.58
554,423642,389,34642,323484.65
555,426534,397,29534,361745.85
556,426393,395,31393,330350.78
557,426102,392,34102,337034.67
558,420959,391,29959,327788.62
559,422504,393,29504,306154.85
560,419725,389,30725,332380.3
561,422434,392,30434,347271.22
562,420807,388,32807,310088.83
563,420426,391,29426,294833.12
564,420553,389,31553,310363.97
565,425337,393,32337,319793.72
566,424179,395,29179,316142.1
567,424614,393,31614,341421.55
568,423187,391,32187,363152.8
569,423528,391,32528,329751.25
570,425258,393,32258,310051.75
571,423161,393,30161,331626.2
572,418119,387,31119,330280.08
573,424644,395,29644,345971.62
574,420004,389,31004,331735.33
575,426476,395,31476,333406.92
576,426115,393,33115,346515.25
577,424250,396,28250,350471.12
578,423685,393,30685,329415.35
579,427395,395,32395,339914.97
580,426726,395,31726,340944.45
581,422465,393,29465,318618.3
582,426945,393,33945,331363.35
583,425105,393,32105,340694.3
584,425310,393,32310,315094.3
585,419362,389,30362,322885.3
586,429710,396,33710,349688.15
587,423510,393,30510,366323.5
588,418789,387,31789,339635.08
589,421507,393,28507,350349.25
590,425920,397,28920,343099.88
591,424381,393,31381,339553.95
592,423799,393,30799,352303.6
593,426933,393,33933,345854.9
594,429745,397,32745,332168.75
595,423979,391,32979,317787.97
596,428959,395,33959,346463.08
597,421638,389,32638,308754.38
598,426476,393,33476,345937.67
599,419353,391,28353,325264.28
600,421416,391,30416,353946.47
601,422648,391,31648,342630.9
602,425054,395,30054,353406.85
603,427118,393,34118,339961.72
604,424995,395,29995,328100.17
605,422832,391,31832,309741.05
606,425778,393,32778,334377.58
607,420636,391,29636,337710.67
608,421180,391,30180,336599.15
609,425025,395,30025,336692.33
610,427456,395,32456,326845.92
611,427489,397,30489,347204.25
612,429534,397,32534,341349.92
613,423142,391,32142,349131.55
614,425930,396,29930,333037.9
615,426614,393,33614,339305.65
616,425648,395,30648,351143.28
617,427052,393,34052,323248.7
618,424414,396,28414,351269.3
619,420266,389,31266,317575.62
620,426630,393,33630,317059.85
621,419870,387,32870,328872.5
622,424435,393,31435,315139.38
623,425776,393,32776,342770.05
624,427085,397,30085,344808.35
625,423014,391,32014,346322.53
626,424790,396,28790,327030.0
627,429268,397,32268,365247.75
628,427375,397,30375,340991.08
629,422828,391,31828,341881.85
630,427948,397,30948,326921.2
631,422260,391,31260,349685.72
632,427190,397,30190,336689.97
633,429601,397,32601,360800.08
634,427972,397,30972,358616.03
635,428627,397,31627,347925.85
636,427767,397,30767,352828.62
637,428297,397,31297,352574.45
638,427575,397,30575,344106.7
639,428959,397,31959,334272.2
640,422161,391,31161,325279.33
